"table","column","is_pk","is_fk","type","default","description"
"page_cache","id",1,,"INTEGER",,
"page_cache","date",,,"DATE",,
"page_cache","city",,,"TEXT",,
"page_cache","license_type",,,"INTEGER",,
"page_cache","report_type",,,"TEXT",,
"page_cache","page",,,"TEXT",,
,,,,,,
"licenses","id",1,,"INTEGER",,
"licenses","scrape_date",,,"DATE",,
"licenses","licenseno",,,"INTEGER",,
"licenses","status",,,"TEXT",,
"licenses","licensetype",,,"INTEGER",,
"licenses","issuedate",,,"DATE",,
"licenses","exprdate",,,"DATE",,
"licenses","owner",,,"TEXT",,
"licenses","premisesaddress",,,"TEXT",,
"licenses","tract",,,"TEXT",,
"licenses","business",,,"TEXT",,
"licenses","mailaddress",,,"TEXT",,
"licenses","geocode",,,"INTEGER",,
