id,scrape_date,licenseno,status,licensetype,issuedate,exprdate,owner,premisesaddress,tract,business,mailaddress,geocode
1,2013-01-28,409980,ACTIVE,47,2004-07-09,2013-06-30,"ZACATITOS INC","2939 & 2959 CARLSBAD BLVD, CARLSBAD, CA  92008",0180.00,"LAS OLAS CARLSBAD","",3701
2,2013-01-28,472879,ACTIVE,20,2008-12-19,2013-02-28,"JLMSYSTEMS INC","HIGHWAY 101 S CARLSBAD STATE BEACH CAMPGROUNDS, CARLSBAD, CA  92008",0178.09,"CARLSBAD CAMP STORE","1935 RADFORD OCEANSIDE, CA  92056",3701
3,2013-01-28,501144,ACTIVE,47,2010-11-17,2013-11-30,"GRAND PACIFIC CARLSBAD HOTEL L-PSHIP","5440 5460 & 5480 GRAND PACIFIC DR, CARLSBAD, CA  92008",0221.00,"SHERATON CARLSBAD RESORT & SPA","5900 PASTEUR CT, STE 200 CARLSBAD, CA  92008-7336",3701
4,2013-01-28,355371,ACTIVE,75,1999-11-29,2013-10-31,"ASSOCIATED MICROBREWERIES LTD L-PSHIP","5801-5803-5805 ARMADA DR, CARLSBAD, CA  92008",0221.00,"KARL STRAUSS BREWERY AND GRILL","5985 SANTA FE ST SAN DIEGO, CA  92109",3701
5,2013-01-28,383379,ACTIVE,70,2002-04-10,2013-03-31,"INNS OF AMERICA CANNON LLC","5010 AVENIDA ENCINAS, CARLSBAD, CA  92008",0178.13,"INNS OF AMERICA SUITES","755 RAINTREE DR, STE 200 CARLSBAD, CA  92009",3701
6,2013-01-28,413162,ACTIVE,47,2004-07-19,2013-06-30,"CLAIM JUMPER RESTAURANTS LLC","5958 AVENIDA ENCINAS, CARLSBAD, CA  92008",0178.13,"CLAIM JUMPER RESTAURANT","1510 WEST LOOP SOUTH , ATTN LICENSING DEPARTMENT HOUSTON, TX  77027",3701
7,2013-01-28,515149,ACTIVE,47,2012-02-15,2013-01-31,"SAMMYS WOODFIRED PIZZA","5970 AVENIDA ENCINAS, CARLSBAD, CA  92008",0178.13,"SAMMYS WOODFIRED PIZZA & GRILL","7596 EADS AVE, STE 200 LA JOLLA, CA  92037-4899",3701
8,2013-01-28,423266,ACTIVE,47,2005-07-11,2013-06-30,"WEST CCRA LLC","4980 AVENIDA ENCINAS, CARLSBAD, CA  92008-4343",0178.13,"WEST STEAK SEAFOOD & SPIRITS","5796 ARMADA DR, STE 300 CARLSBAD, CA  92008-4694",3701
9,2013-01-28,444483,ACTIVE,47,2006-12-20,2013-11-30,"WEST RB LLC","4960 AVENIDA ENCINAS, CARLSBAD, CA  92008-4343",0178.13,"BISTRO WEST","5796 ARMADA DR, STE 300 CARLSBAD, CA  92008-4694",3701
10,2013-01-28,465686,ACTIVE,70,2008-08-05,2013-07-31,"WEST INN & SUITES LLC","4970 AVENIDA ENCINAS, CARLSBAD, CA  92008-4343",0178.13,"WEST INN & SUITES","5796 ARMADA DR, STE 300 CARLSBAD, CA  92008-4694",3701
11,2013-01-28,508103,ACTIVE,47,2012-01-25,2013-12-31,"BRIGANTINE THE","5980 AVENIDA ENCINAS, CARLSBAD, CA  92008-4405",0178.13,"MIGUELS COCINA","7889 OSTROW ST SAN DIEGO, CA  92111-3602",3701
12,2013-01-28,407421,ACTIVE,21,2004-01-13,2013-06-30,"RALPHS GROCERY COMPANY","7140 AVENIDA ENCINAS, CARLSBAD, CA  92011",0178.13,"RALPHS 175","PO BOX 54143 LOS ANGELES, CA  90054-0143",3701
13,2013-01-28,310785,ACTIVE,21,1997-09-17,2013-06-30,"THRIFTY PAYLESS INC","7100 AVENIDA ENCINAS, BLDG C, CARLSBAD, CA  92011",0178.13,"RITE AID STORE 5622","2600 CAPITOL AVE, STE 300 SACRAMENTO, CA  95816-5930",3701
14,2013-01-28,523706,ACTIVE,41,2012-08-23,2013-07-31,"TMK TODO INC.","7180 AVENIDA ENCINAS, STE 100, CARLSBAD, CA  92011-4659",0178.13,"TODO SUSHI","",3701
15,2013-01-28,331914,ACTIVE,41,1997-08-22,2013-07-31,"BANNA, SABAH B","7110 AVENIDA ENCINAS, STE 103, CARLSBAD, CA  92011",0178.13,"PRIMO PIZZA AND PASTA","",3701
16,2013-01-28,328586,ACTIVE,47,1997-08-29,2013-07-31,"AVIARA BEVERAGE COMPANY INC","7447 BATIQUITOS DR, CARLSBAD, CA  92011-4732",0178.08,"AVIARA GOLF CLUB","7100 AVIARA RESORT DR CARLSBAD, CA  92011-4908",3701
17,2013-01-28,331283,ACTIVE,47,1999-01-22,2013-10-31,"AVIARA BEVERAGE COMPANY INC","7447 BATIQUITOS DR, STE A, CARLSBAD, CA  92011-4732",0178.08,"PARK HYATT AVIARA","7100 AVIARA RESORT DR CARLSBAD, CA  92011-4908",3701
