table,column,is_pk,is_fk,i1,type,size,default,,description,d_title
,,,,,,,,,,
,,,,,,,,,,
collision,Case Id,,,,VARCHAR,19,,,the unique identifier of the collision report (barcode beginning 2002; 19 digit code prior to 2002),Case Id
collision,Collision Year,,,,INTEGER,4,,,the year when the collision occurred,Collision Year
collision,Process Date,,,,DATE,8,,,(YYYYMMDD),Process Date
collision,Jurisdiction,,,,INTEGER,4,,,Four numerics assigned by DOJ,Jurisdiction
collision,Collision Date,,,,DATE,8,,,the date when the collision occurred (YYYYMMDD),Collision Date
collision,Collision Time,,,,TIME,4,,,the time when the collision occurred (24 hour time),Collision Time
collision,Officer Id,,,,VARCHAR,8,,,,Officer Id
collision,Reporting District,,,,VARCHAR,5,,,,Reporting District
collision,Day of Week,,,,CHAR,1,,,the code for the day of the week when the collision occurred,Day of Week
collision,CHP Shift,,,,CHAR,1,,,,CHP Shift
collision,Population,,,,CHAR,1,,,,Population
collision,County City Location,,,,VARCHAR,4,,,the location code of where the collision occurred,County City Location
collision,Special Condition,,,,CHAR,1,,,,Special Condition
collision,Beat Type,,,,CHAR,1,,,,Beat Type
collision,CHP Beat Type,,,,CHAR,1,,,,CHP Beat Type
collision,City Division LAPD,,,,CHAR,1,,,,City Division LAPD
collision,CHP Beat Class,,,,CHAR,1,,,,CHP Beat Class
collision,Beat INTEGER,,,,VARCHAR,6,,,,Beat INTEGER
collision,Primary Rd,,,,VARCHAR,50,,,,Primary Rd
collision,Secondary Rd,,,,VARCHAR,50,,,,Secondary Rd
collision,Distance,,,,INTEGER,9,,,,Distance
collision,Direction,,,,CHAR,1,,,,Direction
collision,Intersection,,,,CHAR,1,,,,Intersection
collision,Weather 1,,,,CHAR,1,,,the weather condition at the time of the collision,Weather 1
collision,Weather 2,,,,CHAR,1,,,"the weather condition at the time of the collision, 
If a second description is necessary",Weather 2
collision,State Highway Indicator,,,,CHAR,1,,,,State Highway Indicator
collision,Caltrans County,,,,VARCHAR,3,,,,Caltrans County
collision,Caltrans District,,,,INTEGER,2,,,,Caltrans District
collision,State Route,,,,INTEGER,3,,,,State Route
collision,Route Suffix,,,,CHAR,1,,,,Route Suffix
collision,Postmile Prefix,,,,CHAR,1,,,,Postmile Prefix
collision,Postmile,,,,INTEGER,6,,,,Postmile
collision,Location Type,,,,CHAR,1,,,,Location Type
collision,Ramp Intersection,,,,CHAR,1,,,,Ramp Intersection
collision,Side Of Highway,,,,CHAR,1,,,"Code provided by Caltrans Coders; applies to divided highway, 
Based on nominal direction of route;
for single vehicle is same as nominal direction of travel, 
overruled by impact with second vehicle after crossing median",Side Of Highway
collision,Tow Away,,,,CHAR,1,,,,Tow Away
collision,Collision Severity,,,,CHAR,1,,,"the injury level severity of the collision
(highest level of injury in collision)",Collision Severity
collision,Killed victims,,,,INTEGER,3,,,counts victims in the collision with degree of injury of 1,Killed victims
collision,Injured victims,,,,INTEGER,3,,,"counts victims in the collision with degree of injury of 2, 3, or 4",Injured victims
collision,Party Count,,,,INTEGER,3,,,counts total parties in the collision,Party Count
collision,Primary Collision Factor,,,,CHAR,1,,,,Primary Collision Factor
collision,PCF Violation Code,,,,CHAR,1,,,,PCF Violation Code
