table,seq,column,is_pk,i1,i2,i3,i4,i5,i6,is_fk,type,size,description,d_title,id
collisions,1,CASE_ID,1,,,,,,,,VARCHAR,19,the unique identifier of the collision report (barcode beginning 2002; 19 digit code prior to 2002),Case Id,d3lH3w0101
collisions,2,ACCIDENT_YEAR,,,,,,,,,INTEGER,4,the year when the collision occurred,Collision Year,d3lH3w0102
collisions,3,PROC_DATE,,1,,,,,,,DATE,8,(YYYYMMDD),Process Date,d3lH3w0103
collisions,4,JURIS,,, ,,,,,,INTEGER,4,Four numerics assigned by DOJ,Jurisdiction,d3lH3w0104
collisions,5,COLLISION_DATE,, ,1,,,,,,DATE,8,the date when the collision occurred (YYYYMMDD),Collision Date,d3lH3w0105
collisions,6,COLLISION_TIME,,, ,1,,,,,TIME,4,the time when the collision occurred (24 hour time),Collision Time,d3lH3w0106
collisions,7,OFFICER_ID,,,,,,,,,VARCHAR,8,,Officer Id,d3lH3w0107
collisions,8,REPORTING_DISTRICT,,,,,,,,,VARCHAR,5,,Reporting District,d3lH3w0108
collisions,9,DAY_OF_WEEK,,,, ,1,,,,CHAR,1,the code for the day of the week when the collision occurred,Day of Week,d3lH3w0109
collisions,10,CHP_SHIFT,,,,,,,,,CHAR,1,,CHP Shift,d3lH3w010a
collisions,11,POPULATION,,,,,,,,,CHAR,1,,Population,d3lH3w010b
collisions,12,CNTY_CITY_LOC,,,,,,1,,,VARCHAR,4,the location code of where the collision occurred,County City Location,d3lH3w010c
collisions,13,SPECIAL_COND,,,,,,,,,CHAR,1,,Special Condition,d3lH3w010d
collisions,14,BEAT_TYPE,,,,,,,,,CHAR,1,,Beat Type,d3lH3w010e
collisions,15,CHP_BEAT_TYPE,,,,,,,,,CHAR,1,,CHP Beat Type,d3lH3w010f
collisions,16,CITY_DIVISION_LAPD,,,,,,,,,CHAR,1,,City Division LAPD,d3lH3w010g
collisions,17,CHP_BEAT_CLASS,,,,,,,,,CHAR,1,,CHP Beat Class,d3lH3w010h
