column,start,length,datatype
FILEID,1,6,TEXT 
STUSAB,7,2,TEXT 
SUMLEV,9,3,INTEGER 
GEOCOMP,12,2,INTEGER 
CHARITER,14,3,INTEGER 
CIFSN,17,2,TEXT 
LOGRECNO,19,7,INTEGER 
REGION,26,1,INTEGER 
DIVISION,27,1,INTEGER 
STATECE,28,2,INTEGER 
STATE,30,2,INTEGER 
COUNTY,32,3,TEXT 
COUNTYSC,35,2,TEXT 
COUSUB,37,5,TEXT 
COUSUBCC,42,2,TEXT 
COUSUBSC,44,2,TEXT 
PLACE,46,5,TEXT 
PLACECC,51,2,TEXT 
PLACEDC,53,1,TEXT 
PLACESC,54,2,TEXT 
TRACT,56,6,TEXT 
BLKGRP,62,1,TEXT 
BLOCK,63,4,TEXT 
IUC,67,2,TEXT 
CONCIT,69,5,TEXT 
CONCITCC,74,2,TEXT 
CONCITSC,76,2,TEXT 
AIANHH,78,4,TEXT 
AIANHHFP,82,5,TEXT 
AIANHHCC,87,2,TEXT 
AIHHTLI,89,1,TEXT 
AITSCE,90,3,TEXT 
AITS,93,5,TEXT 
AITSCC,98,2,TEXT 
ANRC,100,5,TEXT 
ANRCCC,105,2,TEXT 
MSACMSA,107,4,TEXT 
MASC,111,2,TEXT 
CMSA,113,2,TEXT 
MACCI,115,1,TEXT 
PMSA,116,4,TEXT 
NECMA,120,4,TEXT 
NECMACCI,124,1,TEXT 
NECMASC,125,2,TEXT 
EXI,127,1,TEXT 
UA,128,5,TEXT 
UASC,133,2,TEXT 
UATYPE,135,1,TEXT 
UR,136,1,TEXT 
CD106,137,2,TEXT 
CD108,139,2,TEXT 
CD109,141,2,TEXT 
CD110,143,2,TEXT 
SLDU,145,3,TEXT 
SLDL,148,3,TEXT 
VTD,151,6,TEXT 
VTDI,157,1,TEXT 
ZCTA3,158,3,TEXT 
ZCTA5,161,5,TEXT 
SUBMCD,166,5,TEXT 
SUBMCDCC,171,2,TEXT 
AREALAND,173,14,INTEGER 
AREAWATR,187,14,INTEGER 
NAME,201,90,TEXT 
FUNCSTAT,291,1,TEXT 
GCUNI,292,1,TEXT 
POP100,293,9,INTEGER 
RES,302,9,INTEGER 
INTPTLAT,311,9,INTEGER 
INTPTLON,320,10,INTEGER 
LSADC,330,2,INTEGER 
PARTFLAG,332,1,TEXT 
SDELM,333,5,TEXT 
SDSEC,338,5,TEXT 
SDUNI,343,5,TEXT 
TAZ,348,6,TEXT 
UGA,354,5,TEXT 
PUMA5,359,5,TEXT 
PUMA1,364,5,TEXT 
RESERVED,369,32,TEXT
