table,column,is_pk,is_fk,i1,i2,i3,ui1,type,width,default,description,Notes,d_split_table,d_orig_type
record_code,record_code_id,1,,,,,,INTEGER,,-1,,,A,
record_code,state,,,1,,,1,TEXT,,NONE,,,,
record_code,logrecno,,,,,,1,INTEGER,,-1,,,,
record_code,recno_id,,1,,,,,INTEGER,,-1,,,,
record_code,area_id,,1,,,,,INTEGER,,-1,,,,
record_code,block_id,,1,,,,,INTEGER,,-1,,,,
record_code,cons_city_id,,1,,,,,INTEGER,,-1,,,,
record_code,county_id,,1,,,,,INTEGER,,-1,,,,
record_code,leg_district_id,,1,,,,,INTEGER,,-1,,,,
record_code,metro_type_id,,1,,,,,INTEGER,,-1,,,,
record_code,place_id,,1,,,,,INTEGER,,-1,,,,
record_code,schools_id,,1,,,,,INTEGER,,-1,,,,
record_code,spec_area_id,,1,,,,,INTEGER,,-1,,,,
record_code,state_id,,1,,,,,INTEGER,,-1,,,,
record_code,urban_type_id,,1,,,,,INTEGER,,-1,,,,
recno,recno_id,1,,,,,,INTEGER,,,,,A,
recno,fileid,,,,,,,TEXT,6,NONE,,,,
recno,stusab,,,,,,1,TEXT,2,NONE,,,,
recno,sumlev,,,1,,,,INTEGER,3,-1,,,,
recno,geocomp,,,,,,,INTEGER,2,-1,,,,
recno,chariter,,,,1,,,INTEGER,3,-1,,,,
recno,cifsn,,,,,,,INTEGER,2,-1,,,,TEXT
recno,logrecno,,,,,,1,INTEGER,7,-1,,,,
area,area_id,1,,,,,,INTEGER,,-1,,,A,
area,name,,,,,,,TEXT,,NONE,,,,
area,arealand,,,1,,,,INTEGER,,-1,Area (Land),,,
area,areawatr,,,,1,,,INTEGER,,-1,Area (Water),,,
area,pop100,,,,,,,INTEGER,,-1,Population Count (100%),,,
area,hu100,,,,,,,INTEGER,,-1,Housing Count (100%),,,
area,intptlat,,,,,1,,INTEGER,,-1,Internal Point (Latitude),,
area,intptlon,,,,,1,,INTEGER,,-1,Internal Point (Longitude),,
area,funcstat,,,,,,,TEXT,,NONE,Functional Status Code,,
area,partflag,,,,,,,TEXT,,NONE,Part Flag,,
area,gcuni,,,,,,,TEXT,,NONE,Geographic Change User Note Indicator,,
