"column","start","length"
"fileid",0,6
"stusab",6,2
"sumlev",8,3
"geocomp",11,2
"chariter",13,3
"cifsn",16,2
"logrecno",18,7
"region",25,1
"division",26,1
"state",27,2
"county",29,3
"countycc",32,2
"countysc",34,2
"cousub",36,5
"cousubcc",41,2
"cousubsc",43,2
"place",45,5
"placecc",50,2
"placesc",52,2
"tract",54,6
"blkgrp",60,1
"block",61,4
"iuc",65,2
"concit",67,5
"concitcc",72,2
"concitsc",74,2
"aianhh",76,4
"aianhhfp",80,5
"aianhhcc",85,2
"aihhtli",87,1
"aitsce",88,3
"aits",91,5
"aitscc",96,2
"ttract",98,6
"tblkgrp",104,1
"anrc",105,5
"anrccc",110,2
"cbsa",112,5
"cbsasc",117,2
"metdiv",119,5
"csa",124,3
"necta",127,5
"nectasc",132,2
"nectadiv",134,5
"cnecta",139,3
"cbsapci",142,1
"nectapci",143,1
"ua",144,5
"uasc",149,2
"uatype",151,1
"ur",152,1
"cd",153,2
"sldu",155,3
"sldl",158,3
"vtd",161,6
"vtdi",167,1
"reserve2",168,3
"zcta5",171,5
"submcd",176,5
"submcdcc",181,2
"sdelm",183,5
"sdsec",188,5
"sduni",193,5
"arealand",198,14
"areawatr",212,14
"name",226,90
"funcstat",316,1
"gcuni",317,1
"pop100",318,9
"hu100",327,9
"intptlat",336,11
"intptlon",347,12
"lsadc",359,2
"partflag",361,1
"reserve3",362,6
"uga",368,5
"statens",373,8
"countyns",381,8
"cousubns",389,8
"placens",397,8
"concitns",405,8
"aianhhns",413,8
"aitsns",421,8
"anrcns",429,8
"submcdns",437,8
"cd113",445,2
"cd114",447,2
"cd115",449,2
"sldu2",451,3
"sldu3",454,3
"sldu4",457,3
"sldl2",460,3
"sldl3",463,3
"sldl4",466,3
"aianhhsc",469,2
"csasc",471,2
"cnectasc",473,2
"memi",475,1
"nmemi",476,1
"puma",477,5
"reserved",482,18
