FILEID,Text,12
STUSAB,Text,4
SUMLEV,Text,6
GEOCOMP,Text,4
CHARITER,Text,6
CIFSN,Text,4
LOGRECNO,Integer,0
REGION,Text,2
DIVISION,Text,2
STATE,Text,4
COUNTY,Text,6
COUNTYCC,Text,4
COUNTYSC,Text,4
COUSUB,Text,10
COUSUBCC,Text,4
COUSUBSC,Text,4
PLACE,Text,10
PLACECC,Text,4
PLACESC,Text,4
TRACT,Text,12
BLKGRP,Text,2
BLOCK,Text,8
IUC,Text,4
CONCIT,Text,10
CONCITCC,Text,4
CONCITSC,Text,4
AIANHH,Text,8
AIANHHFP,Text,10
AIANHHCC,Text,4
AIHHTLI,Text,2
AITSCE,Text,6
AITS,Text,10
AITSCC,Text,4
TTRACT,Text,12
TBLKGRP,Text,2
ANRC,Text,10
ANRCCC,Text,4
CBSA,Text,10
CBSASC,Text,4
METDIV,Text,10
CSA,Text,6
NECTA,Text,10
NECTASC,Text,4
NECTADIV,Text,10
CNECTA,Text,6
CBSAPCI,Text,2
NECTAPCI,Text,2
UA,Text,10
UASC,Text,4
UATYPE,Text,2
UR,Text,2
CD,Text,4
SLDU,Text,6
SLDL,Text,6
VTD,Text,12
VTDI,Text,2
RESERVE2,Text,6
ZCTA5,Text,10
SUBMCD,Text,10
SUBMCDCC,Text,4
SDELEM,Text,10
SDSEC,Text,10
SDUNI,Text,10
AREALAND,Double,0
AREAWATR,Double,0
NAME,Text,180
FUNCSTAT,Text,2
GCUNI,Text,2
POP100,Integer,0
HU100,Integer,0
INTPTLAT,Text,22
INTPTLON,Text,24
LSADC,Text,4
PARTFLAG,Text,2
RESERVE3,Text,12
UGA,Text,10
STATENS,Text,16
COUNTYNS,Text,16
COUSUBNS,Text,16
PLACENS,Text,16
CONCITNS,Text,16
AIANHHNS,Text,16
AITSNS,Text,16
ANRCNS,Text,16
SUBMCDNS,Text,16
CD113,Text,4
CD114,Text,4
CD115,Text,4
SLDU2,Text,6
SLDU3,Text,6
SLDU4,Text,6
SLDL2,Text,6
SLDL3,Text,6
SLDL4,Text,6
AIANHHSC,Text,4
CSASC,Text,4
CNECTASC,Text,4
MEMI,Text,2
NMEMI,Text,2
PUMA,Text,10
RESERVED,Text,36
