"Col 10","Type 10","Col 00","Type 00","Col ACS","Type Acs",
"fileid","TEXT","fileid","TEXT","fileid","TEXT",
"stusab","TEXT","stusab","TEXT","stusab","TEXT",
"sumlev","INTEGER","sumlev","INTEGER","sumlevel","INTEGER",
"geocomp","TEXT","geocomp","INTEGER","component","TEXT",
"chariter","INTEGER","chariter","INTEGER",,,
"cifsn","INTEGER","cifsn","INTEGER",,,
"logrecno","INTEGER","logrecno","INTEGER","logrecno","INTEGER",
,,,,,,
,,,,"geoid","TEXT",
"name","TEXT","name","TEXT","name","TEXT",
,,,,,,
,,,,"us","INTEGER",
"region","INTEGER","region","INTEGER","region","INTEGER",
"division","INTEGER","division","INTEGER","division","INTEGER",
,,,,,,
,,"statece","INTEGER","statece","INTEGER","State(Census)"
"state","INTEGER","state","INTEGER","state","INTEGER","State (FIPS)"
"statens","INTEGER",,,,,"State(ANSI)"
,,,,,,
"county","INTEGER","county","INTEGER","county","INTEGER",
"countyns","INTEGER",,,,,
"countycc","TEXT",,,,,
"countysc","INTEGER","countysc","INTEGER",,,
,,,,,,
"cousub","INTEGER","cousub","INTEGER","cousub","INTEGER",
"cousubns","INTEGER",,,,,
"cousubcc","TEXT","cousubcc","TEXT",,,
"cousubsc","INTEGER","cousubsc","INTEGER",,,
,,,,,,
"submcd","INTEGER","submcd","INTEGER","submcd","INTEGER",
"submcdns","INTEGER",,,,,
"submcdcc","INTEGER","submcdcc","TEXT",,,
,,,,,,
"place","INTEGER","place","INTEGER","place","INTEGER",
"placens","INTEGER",,,,,
"placecc","TEXT","placecc","TEXT",,,
,,"placedc","TEXT",,,
"placesc","INTEGER","placesc","INTEGER",,,
,,"exi","TEXT",,,
,,,,,,
"tract","INTEGER","tract","INTEGER","tract","INTEGER",
,,,,,,
"blkgrp","INTEGER","blkgrp","INTEGER","blkgrp","INTEGER",
,,,,,,
"block","INTEGER","block","INTEGER",,,
,,,,,,
"iuc","INTEGER","iuc","INTEGER",,,
,,,,,,
"concit","INTEGER","concit","INTEGER","concit","INTEGER",
"concitns","INTEGER",,,,,
"concitcc","INTEGER","concitcc","TEXT",,,
"concitsc","INTEGER","concitsc","INTEGER",,,
,,,,,,
,,"zcta3","INTEGER","zcta3","INTEGER",
"zcta5","INTEGER","zcta5","TEXT","zcta5","INTEGER",
,,,,,,
"sdelem","INTEGER","sdelm","INTEGER","sdelm","INTEGER",
