"table","column","is_pk","is_fk","i1","i2","i3","i4","i5","ui1","type","width","default","description","Notes"
"places","places_id",1,,,,,,," ","INTEGER"," ",,,
"places","geoid",," ",1,,,,,,"TEXT",,,,
"places","statefp",,,,,,,,,"INTEGER",,,,
"places","placens",,,,,,,,,"INTEGER",,,,
"places","placefp",,,,,,,,,"INTEGER",,,,
"places","spcs_id",,1,,,,,,,"INTEGER",,,,
"places","name",,,,,,,,,"TEXT",,,,
"places","latmin",,,,,,,,,"REAL",,,"Bounding box extracted from feature",
"places","latmax",,,,,,,,,"REAL",,,"Bounding box extracted from feature",
"places","lonmin",,,,,,,,,"REAL",,,"Bounding box extracted from feature",
"places","lonmax",,,,,,,,,"REAL",,,"Bounding box extracted from feature",
"places","eastmin",,,,,,,,,"INTEGER",,,"Adjusted Bounding box in UTM. ",
"places","eastmax",,,,,,,,,"INTEGER",,,"Adjusted Bounding box in UTM. ",
"places","northmin",,,,,,,,,"INTEGER",,,"Adjusted Bounding box in UTM. ",
"places","northmax",,,,,,,,,"INTEGER",,,"Adjusted Bounding box in UTM. ",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"spcs","spcs_id",1,,,,,,,,"INTEGER",,,,
"spcs","srid",,,1,,,,,,"INTEGER",,,"EPSG Id number",
"spcs","fips",,,,1,,,,,"INTEGER",,,"SPCS FIPS code",
"spcs","name",,,,,,,,,"TEXT",,,"Projection name",
"spcs","proj4text",,,,,,,,,"TEXT",,,"Projection text",
"spcs","srswkt",,,,,,,,,"TEXT",,,"SRS Well Known Text",
