"srid","fips","name","proj4text","srswkt"
26929,101,"NAD83 / Alabama East","+proj=tmerc +lat_0=30.5 +lon_0=-85.83333333333333 +k=0.99996 +x_0=200000 +y_0=0 +ellps=GRS80 +datum=NAD83 +units=m +no_defs","PROJCS[""NAD83 / Alabama East"",GEOGCS[""NAD83"",DATUM[""North_American_Datum_1983"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6269""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4269""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",30.5],PARAMETER[""central_meridian"",-85.83333333333333],PARAMETER[""scale_factor"",0.99996],PARAMETER[""false_easting"",200000],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""26929""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]"
26930,102,"NAD83 / Alabama West","+proj=tmerc +lat_0=30 +lon_0=-87.5 +k=0.999933333 +x_0=600000 +y_0=0 +ellps=GRS80 +datum=NAD83 +units=m +no_defs","PROJCS[""NAD83 / Alabama West"",GEOGCS[""NAD83"",DATUM[""North_American_Datum_1983"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6269""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4269""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",30],PARAMETER[""central_meridian"",-87.5],PARAMETER[""scale_factor"",0.999933333],PARAMETER[""false_easting"",600000],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""26930""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]"
26948,201,"NAD83 / Arizona East","+proj=tmerc +lat_0=31 +lon_0=-110.1666666666667 +k=0.9999 +x_0=213360 +y_0=0 +ellps=GRS80 +datum=NAD83 +units=m +no_defs","PROJCS[""NAD83 / Arizona East"",GEOGCS[""NAD83"",DATUM[""North_American_Datum_1983"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6269""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4269""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",31],PARAMETER[""central_meridian"",-110.1666666666667],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",213360],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""26948""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]"
26949,202,"NAD83 / Arizona Central","+proj=tmerc +lat_0=31 +lon_0=-111.9166666666667 +k=0.9999 +x_0=213360 +y_0=0 +ellps=GRS80 +datum=NAD83 +units=m +no_defs","PROJCS[""NAD83 / Arizona Central"",GEOGCS[""NAD83"",DATUM[""North_American_Datum_1983"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6269""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4269""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",31],PARAMETER[""central_meridian"",-111.9166666666667],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",213360],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""26949""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]"
26950,203,"NAD83 / Arizona West","+proj=tmerc +lat_0=31 +lon_0=-113.75 +k=0.999933333 +x_0=213360 +y_0=0 +ellps=GRS80 +datum=NAD83 +units=m +no_defs","PROJCS[""NAD83 / Arizona West"",GEOGCS[""NAD83"",DATUM[""North_American_Datum_1983"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6269""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4269""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",31],PARAMETER[""central_meridian"",-113.75],PARAMETER[""scale_factor"",0.999933333],PARAMETER[""false_easting"",213360],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""26950""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]"
26951,301,"NAD83 / Arkansas North","+proj=lcc +lat_1=36.23333333333333 +lat_2=34.93333333333333 +lat_0=34.33333333333334 +lon_0=-92 +x_0=400000 +y_0=0 +ellps=GRS80 +datum=NAD83 +units=m +no_defs","PROJCS[""NAD83 / Arkansas North"",GEOGCS[""NAD83"",DATUM[""North_American_Datum_1983"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6269""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4269""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""standard_parallel_1"",36.23333333333333],PARAMETER[""standard_parallel_2"",34.93333333333333],PARAMETER[""latitude_of_origin"",34.33333333333334],PARAMETER[""central_meridian"",-92],PARAMETER[""false_easting"",400000],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""26951""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]"
26952,302,"NAD83 / Arkansas South","+proj=lcc +lat_1=34.76666666666667 +lat_2=33.3 +lat_0=32.66666666666666 +lon_0=-92 +x_0=400000 +y_0=400000 +ellps=GRS80 +datum=NAD83 +units=m +no_defs","PROJCS[""NAD83 / Arkansas South"",GEOGCS[""NAD83"",DATUM[""North_American_Datum_1983"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6269""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4269""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""standard_parallel_1"",34.76666666666667],PARAMETER[""standard_parallel_2"",33.3],PARAMETER[""latitude_of_origin"",32.66666666666666],PARAMETER[""central_meridian"",-92],PARAMETER[""false_easting"",400000],PARAMETER[""false_northing"",400000],AUTHORITY[""EPSG"",""26952""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]"
26941,401,"NAD83 / California zone 1","+proj=lcc +lat_1=41.66666666666666 +lat_2=40 +lat_0=39.33333333333334 +lon_0=-122 +x_0=2000000 +y_0=500000 +ellps=GRS80 +datum=NAD83 +units=m +no_defs","PROJCS[""NAD83 / California zone 1"",GEOGCS[""NAD83"",DATUM[""North_American_Datum_1983"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6269""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4269""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""standard_parallel_1"",41.66666666666666],PARAMETER[""standard_parallel_2"",40],PARAMETER[""latitude_of_origin"",39.33333333333334],PARAMETER[""central_meridian"",-122],PARAMETER[""false_easting"",2000000],PARAMETER[""false_northing"",500000],AUTHORITY[""EPSG"",""26941""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]"
26942,402,"NAD83 / California zone 2","+proj=lcc +lat_1=39.83333333333334 +lat_2=38.33333333333334 +lat_0=37.66666666666666 +lon_0=-122 +x_0=2000000 +y_0=500000 +ellps=GRS80 +datum=NAD83 +units=m +no_defs","PROJCS[""NAD83 / California zone 2"",GEOGCS[""NAD83"",DATUM[""North_American_Datum_1983"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6269""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4269""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""standard_parallel_1"",39.83333333333334],PARAMETER[""standard_parallel_2"",38.33333333333334],PARAMETER[""latitude_of_origin"",37.66666666666666],PARAMETER[""central_meridian"",-122],PARAMETER[""false_easting"",2000000],PARAMETER[""false_northing"",500000],AUTHORITY[""EPSG"",""26942""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]"
26943,403,"NAD83 / California zone 3","+proj=lcc +lat_1=38.43333333333333 +lat_2=37.06666666666667 +lat_0=36.5 +lon_0=-120.5 +x_0=2000000 +y_0=500000 +ellps=GRS80 +datum=NAD83 +units=m +no_defs","PROJCS[""NAD83 / California zone 3"",GEOGCS[""NAD83"",DATUM[""North_American_Datum_1983"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6269""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4269""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""standard_parallel_1"",38.43333333333333],PARAMETER[""standard_parallel_2"",37.06666666666667],PARAMETER[""latitude_of_origin"",36.5],PARAMETER[""central_meridian"",-120.5],PARAMETER[""false_easting"",2000000],PARAMETER[""false_northing"",500000],AUTHORITY[""EPSG"",""26943""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]"
