x,y
6467736.688,1932574.137
6307285.614,1832522.097
6306969.599,1832422.092
6374741.889,1924895.324
6307996.906,1831393.14
6302032.063,1832338.15
6325225.774,1838868.142
6309277.763,1826251.914
6298199.654,1944276.495
6256479.099,1839281.846
6378630.664,1959982.674
6259426.824,1859251.303
6499809.171,1851940.125
6332411.262,2002936.322
6272762.577,1834915.211
6321597.44,1828691.17
6271315.305,1939475.625
6325174.953,2035052.999
6268589,1861982
6286078,1853960
6211799.901,2028783.989
6377633.024,1924199.802
6325151.613,1839134.928
6276073.903,2013993.019
6329681.981,1810538.097
6302241.22,1800470.347
6298022.16,1847594.774
6267215.773,1855926.16
6325062.627,1839447.766
6327853.937,1868553.963
6272537.366,1835978.317
6324277,1840732
6324982.744,1839724.734
6248176.425,1946473.806
6324906.753,1839988.704
6324818.911,1840294.03
6308285.93,1831491.319
6292051.308,1874601.462
6305053.538,1997042.308
6315802,1840928
6401676.968,2010475.889
6313267.064,1946414.919
6324742.742,1840561.882
6251789.349,1926753.737
6272528.527,1835975.046
6306127,1838286
6316755,1846890
6223115.95,2010856.05
6252830.816,2045287.369
6363202.405,1874875.029
6299122.982,1856957.468
6374724.813,1924838.593
6298406.579,1874742.791
6278923.499,1851806.984
6273802.878,1855618.341
6311863.769,1866520.324
6356118.979,1863918.725
6285516,1879979.92
6378005.428,1924208.619
6253474.942,2046024.746
6374740.253,1924904.338
6315394,1858969.999
6319588.322,1985873.573
6262012.258,1845618.677
6294538.534,1967647.153
6315950.995,1853698.7
6374155.401,1926502.947
6257853.046,1830783.945
6315029.7,1858427.996
6338689.988,1855838.5
6315384.995,1858431.695
6323244.767,1858308.17
6257169,2077011
6293259,1850523
6327819.799,1811785.998
6320465.848,1819673.925
6258879.496,1876336.962
6264471,2026500
6263132.996,1851964.955
6256255.514,1838139.101
6311853.126,1866536.3
6244759.612,1955297.106
6278155,1852569
6259745.038,1850732.44
6187368.973,2082859.163
6321825.87,1843282.607
6267289.093,1996379.455
6351423.214,1815056.945
6374686.99,1925159.657
6296319.944,1831834.928
6320468.963,1851903.025
6334616,1852238.101
6320661.05,1841171.587
6307043.52,1808843.36
6332001.6,1853581.8
6317096.978,1859435
6231086.922,2068328.817
6405462.447,2005020.15
6329757.775,1863321.88
6355869.55,1876845.748
6321146.491,1842119.197
6315655.019,1833711.015
6262467.667,2087365.95
6336717.013,1840662.474
6299985.5,1849537.99
6323201.318,1888098.384
6257181.915,1830126.49
6374990.87,1927601.113
6230511.741,2056051.323
6317476.333,1979149.923
6304735,1833485
6391538.583,1885394.756
6273631.518,1836086.99
6291125.234,1830313.677
6508536.553,1891717.12
6305496.363,1832947.064
6319124.323,1860714.781
6408118.293,1900176.343
6294962.096,1967265.02
6342895.774,1847893.118
6289510,1853260
6283156,1855045
6257388.499,2022936.991
6254573.997,1838129.036
6374611.115,1925171.85
6247967.933,1942124.31
6306501.634,1832851.025
6373364.269,1926809.528
6262696.649,1908934.766
6216973.649,2013279.766
6327910.225,1919923.645
6305802.379,1833021.408
6254637.67,2021144.24
6342886.198,1847866.393
6317766.269,1860014.566
6316162.631,1863391.782
6315920,1851547.001
6276915.044,1850231.941
6327644.393,1854608.607
6313946.045,1831297.874
6317487.148,1860009.999
6343144.867,1845801.769
6252141.276,1927988.473
6282573.982,1855028.868
6298775.868,1977835.018
6262400.018,1842219.867
6272765.904,1834930.316
6186132.843,2084262.319
6268213.775,1836095.139
6315987.93,1855338.445
6317096.027,1860003.375
6306182.579,1832917.285
6306781.666,1832993.744
6257030.098,1831037.788
6306640.429,1821396.967
6298419,1790623
6253777.043,1866493.213
6304816.163,1821316.504
6318696,1860026.832
6274667.291,2051454.092
6319562.882,1990038.216
6267539.07,1917514.56
6256387.607,1838120.524
6227694,2061104
6338258,1882699
6227468.992,2061108.5
6225720.506,2008312.005
6313863,1945132.951
6356360.243,1871606.998
6374899.963,1815860.657
6327666.686,1854586.314
6329852.319,1810942.638
6488273.677,1799456.696
6329696.522,1810546.881
6357446.826,1870185.001
6338687.485,1822105.008
6317128.462,1796341.07
6396544.601,2084794.399
6299053,1790596.999
6252728.937,1835607.291
6462319.096,1967159.218
6270473.954,1900147.529
6289663.077,1863290.527
6301090.837,1846944.993
6256211.493,1837877.997
6302085.998,1832513.762
6286081,1854647.001
6335251.019,1890770.022
6374024.712,1925972.955
6323149.985,1800736.284
6406804.215,1900278.225
6273459.906,1943860.871
6258902.429,1876324.755
6256121.316,1823845.219
6320487.2,1851878.541
6251690.941,1927138.024
6318394.422,1860022.926
6535299.305,1830366.163
6343087.681,1819753.331
6296801.966,1841749.176
6306896.818,1787010.78
6225295.818,2003368.219
6345821.676,1857304.771
6320930.386,1840955.775
6292306.814,1951030.419
6300112.237,1831301.573
6272379.049,1835695.1
6323824.261,1861161.251
6238343.993,2014286.5
6268164.5,1989515.993
6295601.998,2004213.972
6212860.517,2021153.433
6169682.669,2090074.564
6289629.172,1863279.397
6300121.275,1848956.112
6295057.675,1828602.142
6202632.081,2037084.989
6313948.693,1938850.085
6323808.258,1861194.484
6208995.827,2027687.346
6329847.173,1810763.346
6310851.702,1829536.783
6312577.543,1999286.03
6320504.729,1851847.545
6409373.124,1887637.261
6283766.38,2004257.112
6292774,1853241
6306539.999,1848522.974
6306901.047,1830326.478
6251319.444,2042946.459
6240044.764,2005618.657
6250460.073,1928007.862
6344984.826,1876422.855
6298727.452,1790600.005
6309680.168,1816280.532
6450614.467,1892559.685
6352190.458,1892766.577
6299382.998,1788365.74
6410900.165,1883379.966
6323074.275,1885233.556
6318790.477,1979221.338
6380976,1962734
6315560.194,1988069.661
6318074.931,1976637.036
6261216.059,1938797.692
6328025.996,2002483.48
6280675.055,1970866.017
6211824.975,2028784.999
6304761.522,1797249.135
6272361.945,1835660.889
6494325.892,1810785.388
6205693.134,2068270.621
6299379.999,1787944.787
6401384.547,1969031.332
6259306.249,2021176.429
6256352.249,1838111.429
6319247.868,1941947.316
6291758.701,1871422.552
6313543.336,1989796.312
6156482.604,2085448.657
6358033.388,1875919.092
6238305.994,2014286.512
6248689.792,2082555.164
6223562.357,2051858.198
6329914.298,1846804.757
6243925.041,2073679.221
6318781.261,1825658.112
6258943.923,2013833.414
6376268.068,1924854.021
6260030.976,1964149.402
6328637.205,1855842.72
6299379.999,1788114.798
6199275.071,2041318.47
6261463.448,1847688.31
6299632.548,1982645.286
6228814.286,2025537.909
6287288.338,1851025.302
6337727.071,1822126.371
6243001,2013064
6303468,1795922
6289591.971,1863267.649
6239792.976,2005395.978
6324126.938,1887085.363
6212511.809,2031096.701
6401043.9,1968638.227
6255659.698,1850247.579
6435825.315,2071084.741
6299172.162,1991418.861
6489386.359,1823479.745
6374740.421,1924845.024
6172955.949,2090406.503
6323262.972,1858335.457
6285406.175,1844194.079
6418053.859,1861571.515
6298571.844,1893355.2
6151545.665,2089986.762
6306067.244,1821520.342
6255453.156,2013809.856
6598209.189,1874611.021
6249595.977,2081550.021
6249640.977,2081552.021
6263541.232,1991562.244
6203097.054,2041429.588
6251110,1938844
6303666.564,1973086.085
6173219.914,2090388.008
6291178.485,2075106.865
6275371.089,1939459.702
6257391.717,1841586.578
6316031.987,2038638.122
6479206.579,1879085.77
6255177.83,1939739.794
6319094.322,1844173.75
6396527.653,2084760.119
6291086.582,1794718.865
6318187.261,1977031.974
6377169.485,1918952.943
6268163.511,1989474.996
6295169.511,1897380.995
6251428,1938780.968
6216147.951,2034303.529
6377998.576,1924428.661
6255161.658,1842883.582
6298033.121,1883021.762
6289575.232,1870597.411
6281007.732,1826015.661
6303592.162,2043796.907
6243860.535,2074088.262
6318805.368,1825620.449
6251292.077,1983127.959
6441845.5,1892631.995
6257535.005,2019639.5
6259126.622,1931654.083
6291175.001,1902404.021
6216028.427,2015657.108
6326976.44,1810208.182
6269485.546,1937707.802
6374750.629,1924871.596
6236623.668,2055734.116
6308911.884,1823010.332
6316236.075,1850848.017
6289702.861,1863303.457
6251975.395,1938320.924
6271449.295,1851809.31
6255286.368,1843404.416
6298506.449,2022227.687
6378543.241,1916028.675
