address,city,state,zip
"300 Acacia Avenue ",CARLSBAD,CA,92008
"2600 Carlsbad Boulevard ",CARLSBAD,CA,92008
"7100 Aviara Drive ",CARLSBAD,CA,92009
"400 F Street ","CHULA VISTA",CA,91910
"1300 Sheryl Avenue ","CHULA VISTA",CA,91911
"1400 Summit Drive ","CHULA VISTA",CA,91910
"1900 Camto De La Cruz ","CHULA VISTA",CA,91913
"200 Quintard Street ","CHULA VISTA",CA,91911
"300 Sandstone Court ","CHULA VISTA",CA,91911
"400 White Birch Drive ","CHULA VISTA",CA,91902
"900 Pappas Court ","CHULA VISTA",CA,91911
"1300 Mesa Grande Place ","CHULA VISTA",CA,91910
"700 Design Court ","CHULA VISTA",CA,91911
"500 Woodlawn Avenue ","CHULA VISTA",CA,91910
"1900 Natividad Road ","COUNTY UNINCORPORATED",CA,""
"600 Chamberlain Avenue ","EL CAJON",CA,92020
"1000 S Sunshine Avenue ","EL CAJON",CA,92020
"400 Fletcher Parkway ","EL CAJON",CA,92020
"100 E Vermont Avenue ",ESCONDIDO,CA,92025
"1000 E Washington Avenue ",ESCONDIDO,CA,92025
"1500 Rimrock Drive ",ESCONDIDO,CA,92027
"1700 Harold Road ",ESCONDIDO,CA,92026
"1800 Esquire Glen ",ESCONDIDO,CA,92029
"500 N Midway Drive ",ESCONDIDO,CA,92027
"900 E Mission Avenue ",ESCONDIDO,CA,92026
"2000 Ardath Avenue ",ESCONDIDO,CA,92027
"900 Sendero Avenue ",ESCONDIDO,CA,92026
"300 W Felicita Avenue ",ESCONDIDO,CA,92025
"400 W Felicita Avenue ",ESCONDIDO,CA,92025
"4400 Dale Avenue ","LA MESA",CA,91941
"7500 High Street ","LA MESA",CA,91941
"3700 Harris Street ","LA MESA",CA,91941
"1200 National City Boulevard ","NATIONAL CITY",CA,91950
"1800 I Avenue ","NATIONAL CITY",CA,91950
"200 E 24 Th Street ","NATIONAL CITY",CA,91950
"300 E 27 Th Street ","NATIONAL CITY",CA,91950
"800 D Avenue ","NATIONAL CITY",CA,91950
"1800 E 17 Th Street ","NATIONAL CITY",CA,91950
"100 Heritage Street ",OCEANSIDE,CA,92054
"100 Libby Street ",OCEANSIDE,CA,92054
"1500 S Coast Highway ",OCEANSIDE,CA,92054
"1600 Avnda Andante ",OCEANSIDE,CA,92056
"1600 S Pacific Street ",OCEANSIDE,CA,92054
"200 Diamante Way ",OCEANSIDE,CA,92056
"200 Evergreen Parkway ",OCEANSIDE,CA,92054
"200 Lustrosos Street ",OCEANSIDE,CA,92057
"2200 Via Blanca ",OCEANSIDE,CA,92054
"2800 College Boulevard ",OCEANSIDE,CA,92056
"300 Calle Montecito ",OCEANSIDE,CA,92057
"300 Compass Road ",OCEANSIDE,CA,92054
"3200 Carolyn Circle ",OCEANSIDE,CA,92054
"3200 Roberta Lane ",OCEANSIDE,CA,92054
"3400 Ashwood Court ",OCEANSIDE,CA,92054
"3600 College Boulevard ",OCEANSIDE,CA,92056
"3900 Stanford Drive ",OCEANSIDE,CA,92056
"400 Canyon Drive ",OCEANSIDE,CA,92054
"400 Franciscan Way ",OCEANSIDE,CA,92057
"400 Grant Street ",OCEANSIDE,CA,92054
