table,column,is_pk,is_fk,i1,ui1,type,description
businesses,businesses_id,1,,,,INTEGER,
businesses,acct_no,,,,,INTEGER,Category name for the codes
businesses,dba,,,,,TEXT,Code used in the data
businesses,incorp_type,,,,,TEXT,String value for the code
businesses,address,,,,,TEXT,"ID Value, such as geoid of a city. "
businesses,city,,,,,TEXT,
businesses,zip,,,,,INTEGER,
businesses,zip5,,,,,INTEGER,Zip without +4 suffix
businesses,zip4,,,,,INTEGER,Zip+4 suffix
businesses,state,,,,,TEXT,
businesses,phone,,,,,TEXT,
businesses,owner,,,,,TEXT,
businesses,created,,,,,TEXT,
businesses,started,,,,,TEXT,
businesses,expires,,,,,TEXT,
businesses,naics,,,,,INTEGER
businesses,desc,,,,,TEXT
